default,0,1.39,2.78,4.17,5.56,6.94,8.33,9.72,11.11,12.5,13.89
0,0.38,0.135,-0.148,-0.374,-0.375,-0.376,-0.383,-0.384,-0.413,-0.48,-0.5
0.1,0.6,0.525,0.229,0.141,0.032,0.0175,-0.0823,-0.15,-0.161,-0.24,-0.28
0.2,1.15,1.08,0.843,0.56,0.343,0.319,0.254,0.169,0.0745,0.05,-0.03
0.3,1.75,1.6,1.4,1.08,0.936,0.834,0.833,0.685,0.571,0.57,0.569
0.4,2.65,2.48,2.3,2.13,1.77,1.25,1.05,1.05,1.05,1.04,1.04
0.5,3.3,3.25,3.12,2.92,2.68,2.35,2.17,1.98,1.88,1.73,1.61
